@RELATION dados

@ATTRIBUTE A1	REAL
@ATTRIBUTE A2	REAL
@ATTRIBUTE A3	REAL
@ATTRIBUTE A4	REAL
@ATTRIBUTE A5	REAL
@ATTRIBUTE A6	REAL
@ATTRIBUTE A7	REAL
@ATTRIBUTE A8	REAL
@ATTRIBUTE A9	REAL
@ATTRIBUTE A10	REAL
@ATTRIBUTE A11	REAL
@ATTRIBUTE A12	REAL
@ATTRIBUTE A13	REAL
@ATTRIBUTE A14	REAL
@ATTRIBUTE A15	REAL
@ATTRIBUTE A16	REAL
@ATTRIBUTE A17	REAL
@ATTRIBUTE A18	REAL
@ATTRIBUTE A19	REAL
@ATTRIBUTE A20	REAL
@ATTRIBUTE A21	REAL
@ATTRIBUTE A22	REAL
@ATTRIBUTE A23	REAL
@ATTRIBUTE A24	REAL
@ATTRIBUTE A25	REAL
@ATTRIBUTE A26	REAL
@ATTRIBUTE A27	REAL
@ATTRIBUTE A28	REAL
@ATTRIBUTE A29	REAL
@ATTRIBUTE A30	REAL
@ATTRIBUTE A31	REAL
@ATTRIBUTE A32	REAL
@ATTRIBUTE A33	REAL
@ATTRIBUTE A34	REAL
@ATTRIBUTE A35	REAL
@ATTRIBUTE A36	REAL
@ATTRIBUTE A37	REAL
@ATTRIBUTE A38	REAL
@ATTRIBUTE class {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30}

@DATA
0.019298, 0.042105, 0.064912, 0.089474, 0.115789, 0.140351, 0.173684, 0.249123, 0.291228, 0.343860, 0.421053, 0.494737, 0.564912, 0.636842, 0.715789, 0.768421, 0.828070, 0.868421, 0.892982, 0.917544, 0.936842, 0.963158, 0.984211, 0.998246, 0.998246, 0.998246, 0.998246, 0.998246, 0.998246, 0.998246, 0.998246, 0.998246, 0.998246, 0.998246, 0.998246, 0.998246, 0.998246, 0.998246, 2
0.018581, 0.042230, 0.067568, 0.089527, 0.116554, 0.143581, 0.175676, 0.236486, 0.290541, 0.347973, 0.398649, 0.474662, 0.552365, 0.623311, 0.697635, 0.765203, 0.817568, 0.853041, 0.878378, 0.900338, 0.923986, 0.945946, 0.966216, 0.993243, 0.998311, 0.998311, 0.998311, 0.998311, 0.998311, 0.998311, 0.998311, 0.998311, 0.998311, 0.998311, 0.998311, 0.998311, 0.998311, 0.998311, 2
0.017713, 0.040258, 0.062802, 0.086957, 0.112721, 0.138486, 0.172303, 0.238325, 0.281804, 0.333333, 0.397746, 0.479871, 0.557166, 0.629630, 0.706924, 0.764895, 0.813205, 0.847021, 0.876006, 0.900161, 0.922705, 0.943639, 0.967794, 0.987118, 0.998390, 0.998390, 0.998390, 0.998390, 0.998390, 0.998390, 0.998390, 0.998390, 0.998390, 0.998390, 0.998390, 0.998390, 0.998390, 0.998390, 2
0.016575, 0.035912, 0.058011, 0.080110, 0.102210, 0.135359, 0.165746, 0.212707, 0.265193, 0.312155, 0.378453, 0.433702, 0.513812, 0.591160, 0.665746, 0.743094, 0.787293, 0.823204, 0.850829, 0.875691, 0.897790, 0.917127, 0.941989, 0.961326, 0.986188, 0.997238, 0.997238, 0.997238, 0.997238, 0.997238, 0.997238, 0.997238, 0.997238, 0.997238, 0.997238, 0.997238, 0.997238, 0.997238, 2
0.018721, 0.040562, 0.063963, 0.092044, 0.117005, 0.143526, 0.179407, 0.254290, 0.297972, 0.351014, 0.421217, 0.502340, 0.572543, 0.644306, 0.720749, 0.780031, 0.829953, 0.859594, 0.882995, 0.903276, 0.925117, 0.946958, 0.968799, 0.992200, 0.998440, 0.998440, 0.998440, 0.998440, 0.998440, 0.998440, 0.998440, 0.998440, 0.998440, 0.998440, 0.998440, 0.998440, 0.998440, 0.998440, 2
0.015666, 0.036554, 0.065274, 0.091384, 0.114883, 0.140992, 0.164491, 0.227154, 0.263708, 0.321149, 0.383812, 0.438642, 0.519582, 0.603133, 0.691906, 0.751958, 0.791123, 0.830287, 0.861619, 0.882507, 0.906005, 0.926893, 0.947781, 0.968668, 0.997389, 0.997389, 0.997389, 0.997389, 0.997389, 0.997389, 0.997389, 0.997389, 0.997389, 0.997389, 0.997389, 0.997389, 0.997389, 0.997389, 2
0.019090, 0.039648, 0.061674, 0.086637, 0.111601, 0.136564, 0.170338, 0.212922, 0.276065, 0.317181, 0.387665, 0.447871, 0.524229, 0.602056, 0.682819, 0.738620, 0.804699, 0.854626, 0.881057, 0.903084, 0.923642, 0.945668, 0.972100, 0.998532, 0.998532, 0.998532, 0.998532, 0.998532, 0.998532, 0.998532, 0.998532, 0.998532, 0.998532, 0.998532, 0.998532, 0.998532, 0.998532, 0.998532, 2
0.016438, 0.043836, 0.068493, 0.095890, 0.120548, 0.145205, 0.172603, 0.213699, 0.284932, 0.320548, 0.378082, 0.463014, 0.542466, 0.613699, 0.695890, 0.764384, 0.800000, 0.835616, 0.860274, 0.884932, 0.906849, 0.934247, 0.953425, 0.975342, 0.997260, 0.997260, 0.997260, 0.997260, 0.997260, 0.997260, 0.997260, 0.997260, 0.997260, 0.997260, 0.997260, 0.997260, 0.997260, 0.997260, 2
0.016611, 0.038206, 0.061462, 0.086379, 0.109635, 0.144518, 0.176080, 0.225914, 0.285714, 0.348837, 0.408638, 0.488372, 0.563123, 0.634551, 0.707641, 0.774086, 0.827243, 0.858804, 0.880399, 0.903654, 0.926910, 0.946844, 0.966777, 0.986711, 0.998339, 0.998339, 0.998339, 0.998339, 0.998339, 0.998339, 0.998339, 0.998339, 0.998339, 0.998339, 0.998339, 0.998339, 0.998339, 0.998339, 2
0.018364, 0.038397, 0.060100, 0.085142, 0.110184, 0.138564, 0.178631, 0.222037, 0.282137, 0.348915, 0.398998, 0.474124, 0.547579, 0.617696, 0.689482, 0.774624, 0.819699, 0.851419, 0.876461, 0.901503, 0.921536, 0.943239, 0.963272, 0.983306, 0.998331, 0.998331, 0.998331, 0.998331, 0.998331, 0.998331, 0.998331, 0.998331, 0.998331, 0.998331, 0.998331, 0.998331, 0.998331, 0.998331, 2
